Date_Ma,Error_Ma
281.9,10.0
271.6,8.4
272.0,12.4
468.3,23.8
290.4,11.6
268.3,14.8
385.1,12.6
466.1,15.5
386.4,16.1
343.3,19.7
274.3,8.6
409.8,22.3
