Date_Ma,Error_Ma
18.2,1.4
43.5,4.0
35.7,2.8
33.1,3.1
40.6,2.7
48.9,4.5
37.4,3.0
52.9,4.4
35.1,2.2
18.0,1.8
50.3,4.1
30.2,2.8
47.9,3.1
41.1,3.8
